Controller,Seed,Model path,Training steps,Selected checkpoint step,Config,Observation dimension,Action dimension,SHA256
direct_safesac,1,models/direct_safesac/seed_1/selected_validation_checkpoint.zip,100000,100000,models/direct_safesac/seed_1/config_snapshot.yaml,24,1,f584738dd4bbdbaf45dc691205cf69dc10c0b2ef45079e2ebdff2d6a468de70d
direct_safesac,2,models/direct_safesac/seed_2/selected_validation_checkpoint.zip,100000,20000,models/direct_safesac/seed_2/config_snapshot.yaml,24,1,620494ac856e4b6c52a26c490ee2a1ca90d98d7436d1b485ddf75fe0c748847d
direct_safesac,3,models/direct_safesac/seed_3/selected_validation_checkpoint.zip,100000,20000,models/direct_safesac/seed_3/config_snapshot.yaml,24,1,9728270bec1acc15c004491af48ff7fd0cb58bc617e06fb3b49551bee0407cd6
direct_safesac,4,models/direct_safesac/seed_4/selected_validation_checkpoint.zip,100000,20000,models/direct_safesac/seed_4/config_snapshot.yaml,24,1,3e6aa475bf08ac3376827f2c890044388e73d088c09c84a3c74bc7701c65d81a
direct_safesac,5,models/direct_safesac/seed_5/selected_validation_checkpoint.zip,100000,20000,models/direct_safesac/seed_5/config_snapshot.yaml,24,1,c326d6924bb433e1f6a44e6ab40c7f72c3f084ff2ab6dc0071b6a315c7cef5fe
residual_sac,1,models/residual_sac/seed_1/selected_validation_checkpoint.zip,100000,80000,models/residual_sac/seed_1/config_snapshot.yaml,28,1,9f53996e6c845a2bf62926a4a4e4ed2b1c683404e97943945bf2ef16c8dcde45
residual_sac,2,models/residual_sac/seed_2/selected_validation_checkpoint.zip,100000,60000,models/residual_sac/seed_2/config_snapshot.yaml,28,1,70c8d0a45982e27b90470d1e412adb07b7c716eadd775dfd1f956bba772df6aa
residual_sac,3,models/residual_sac/seed_3/selected_validation_checkpoint.zip,100000,100000,models/residual_sac/seed_3/config_snapshot.yaml,28,1,566d2bb70a6a142f7e6a6b589f58dceb6263880968bed8b2c75855aaad47ad04
residual_sac,4,models/residual_sac/seed_4/selected_validation_checkpoint.zip,100000,60000,models/residual_sac/seed_4/config_snapshot.yaml,28,1,6fb2d1177d8a5efc4e391f96a2fe67abd58fffa15006c9ea4592eee392256240
residual_sac,5,models/residual_sac/seed_5/selected_validation_checkpoint.zip,100000,80000,models/residual_sac/seed_5/config_snapshot.yaml,28,1,0639459e341fd3f323f309dd2ae8f3c78df492aaa96adc4067f9a2560250f54c
proposed_residual_safesac,1,models/proposed_residual_safesac/seed_1/selected_validation_checkpoint.zip,100000,80000,models/proposed_residual_safesac/seed_1/config_snapshot.yaml,28,1,7f6f667700e01f73b39958db8045576990207ef8ed519627633db8c6016b956b
proposed_residual_safesac,2,models/proposed_residual_safesac/seed_2/selected_validation_checkpoint.zip,100000,60000,models/proposed_residual_safesac/seed_2/config_snapshot.yaml,28,1,c81141f5a2eba3f3a8818c6bec9717cf57966e85d51f76590c26128a2a374695
proposed_residual_safesac,3,models/proposed_residual_safesac/seed_3/selected_validation_checkpoint.zip,100000,40000,models/proposed_residual_safesac/seed_3/config_snapshot.yaml,28,1,1cda6c72a4f12c5f722aca9441195016abf0c22f144ae48692d331d131de2590
proposed_residual_safesac,4,models/proposed_residual_safesac/seed_4/selected_validation_checkpoint.zip,100000,60000,models/proposed_residual_safesac/seed_4/config_snapshot.yaml,28,1,88d1a8d013c251218ac12353d4a3c8742d1d9b5512a544e2d6f6c1d61e53a5c7
proposed_residual_safesac,5,models/proposed_residual_safesac/seed_5/selected_validation_checkpoint.zip,100000,80000,models/proposed_residual_safesac/seed_5/config_snapshot.yaml,28,1,4e6f4a3d0fb634d99055921fda113e7f72c67b3583fe6c4a9ac27a9042505faf
direct_sac_no_safety,1,models/ablations/direct_sac_no_safety/seed_1/selected_validation_checkpoint.zip,100000,40000,models/ablations/direct_sac_no_safety/seed_1/config_snapshot.yaml,24,1,a99756528931037c400dab048c535cfec01c1ad30cf480a9389e9594a3c78c38
direct_sac_no_safety,2,models/ablations/direct_sac_no_safety/seed_2/selected_validation_checkpoint.zip,100000,20000,models/ablations/direct_sac_no_safety/seed_2/config_snapshot.yaml,24,1,c2641523e31aa84d57fa99c86a58abed4bafe7d246db6cc4a66af26ed64dbf13
direct_sac_no_safety,3,models/ablations/direct_sac_no_safety/seed_3/selected_validation_checkpoint.zip,100000,20000,models/ablations/direct_sac_no_safety/seed_3/config_snapshot.yaml,24,1,8150797cf153790edece25dc8830cfbd6c25d3c953ee9c32dd2a8c99b32e1c29
direct_sac_no_safety,4,models/ablations/direct_sac_no_safety/seed_4/selected_validation_checkpoint.zip,100000,40000,models/ablations/direct_sac_no_safety/seed_4/config_snapshot.yaml,24,1,fde944f301c2adc18e6873e1604ed04ab0c165f078f3a605e5dd4ba1edd23c87
direct_sac_no_safety,5,models/ablations/direct_sac_no_safety/seed_5/selected_validation_checkpoint.zip,100000,100000,models/ablations/direct_sac_no_safety/seed_5/config_snapshot.yaml,24,1,602d57a31859bc46bfca8d3937d7e7f42e747a5492e56d18325d67946b461ea8
residual_prior_no_safety,1,models/ablations/residual_prior_no_safety/seed_1/selected_validation_checkpoint.zip,100000,60000,models/ablations/residual_prior_no_safety/seed_1/config_snapshot.yaml,28,1,269dfeda6f938e6a5ceccfbb7b3622fd09fb77c3be5d00fae9bba0e54e757f83
