scenario,controller,seeds,deterministic,daily_cost_EUR_mean,daily_cost_EUR_std_across_seeds,carbon_emissions_kgCO2_mean,carbon_emissions_kgCO2_std_across_seeds,VPP_tracking_RMSE_kW_mean,VPP_tracking_RMSE_kW_std_across_seeds,VPP_tracking_MAE_kW_mean,VPP_tracking_MAE_kW_std_across_seeds,DR_interval_compliance_pct_mean,DR_interval_compliance_pct_std_across_seeds,DR_event_compliance_pct_mean,DR_event_compliance_pct_std_across_seeds,DR_violation_energy_kWh_mean,DR_violation_energy_kWh_std_across_seeds,DR_max_violation_kW_mean,DR_max_violation_kW_std_across_seeds,battery_throughput_kWh_mean,battery_throughput_kWh_std_across_seeds,equivalent_full_cycles_mean,equivalent_full_cycles_std_across_seeds,terminal_SOC_error_mean,terminal_SOC_error_std_across_seeds,mean_daily_peak_import_kW_mean,mean_daily_peak_import_kW_std_across_seeds,horizon_max_grid_import_kW_mean,horizon_max_grid_import_kW_std_across_seeds,physical_projection_fraction_pct_mean,physical_projection_fraction_pct_std_across_seeds,service_coaching_fraction_pct_mean,service_coaching_fraction_pct_std_across_seeds
baseline_real,no_battery,1,True,415.372708059047,0,5385.57647289825,0,152.54677645205,0,127.02448843508,0,0,0,0,0,8096.04125729939,0,356.405519779892,0,0,0,0,0,0,0,711.607619170289,0,1013.62424421038,0,0,0,0,0
baseline_real,rule_based,1,True,376.812483181191,0,4926.93820625073,0,192.669664518754,0,153.906545318101,0,21.875,0,6.25,0,6034.80269631692,0,356.405519779892,0,1045.63644193914,0,0.130704555242393,0,0.265499946553776,0,710.600593728179,0,1013.62424421038,0,30.0724637681159,0,0,0
baseline_real,tou_self_consumption,1,True,378.450014068956,0,5051.60256517,0,197.631306957708,0,153.749698368111,0,6.25,0,6.25,0,7547.71967689419,0,356.405519779892,0,1033.82986176069,0,0.129228732720086,0,0.253137849470887,0,725.680314107596,0,1013.62424421038,0,19.429347826087,0,0,0
baseline_real,carbon_aware,1,True,395.843997501803,0,5219.81208551915,0,206.778152470903,0,168.982188990051,0,53.90625,0,37.5,0,3334.01460736166,0,356.405519779892,0,1671.44211497546,0,0.208930264371932,0,0.297096658939122,0,801.294595430346,0,1296.54139856475,0,35.1902173913044,0,0,0
baseline_real,greedy_tracking,1,True,409.406597595993,0,5348.38074980611,0,48.5563190700056,0,19.450162333723,0,32.03125,0,0,0,3530.24141905282,0,333.511285275758,0,2581.78388200945,0,0.322722985251181,0,0.155314479595503,0,543.041765595418,0,996.541398564747,0,10.7110507246377,0,0,0
baseline_real,direct_safesac,5,False,398.539306925117,5.59725109234217,5134.73697148979,68.0853842601105,158.566533261331,26.5934053729234,131.894323354767,23.3258725549177,99.7010869565217,0.294558198215737,98.0434782608696,1.41721791417449,0.894659131754478,1.48698884606801,2.31140775582548,3.28775869460242,2892.73588601899,261.638275032063,0.361591985752374,0.032704784379008,0.157887712870863,0.025859555456525,668.367002062855,28.8004558542663,668.367002062855,28.8004558542663,40.7789855072464,19.1326515679161,18.7567934782609,5.19928966332048
baseline_real,residual_sac,5,False,390.288437727741,5.23828372588223,5044.9183432303,64.6563371897873,87.6655488993462,5.10760261485854,76.7927502641222,5.24335020942719,100,0,100,0,0,0,0,0,2827.75893232645,251.030373567131,0.353469866540807,0.0313787966958913,0.191176307946652,0.0352449392716209,576.062546865266,18.7669748106314,576.062546865266,18.7669748106314,0.285326086956522,0.151145349601134,5.86050724637681,1.20573873049028
baseline_real,proposed_residual_safesac,5,False,393.003638970863,3.01151484055907,5091.61374751235,38.3639105525635,80.3698030400603,3.93443074674131,69.2427925692905,4.53700072376094,99.9728260869565,0.0607627167798917,99.7826086956522,0.486101734239082,0.00354193362999208,0.00792000436845488,0.0141677345199684,0.0316800174738196,2741.28358587263,267.522247535394,0.342660448234078,0.0334402809419243,0.163952268446961,0.0200506476895198,572.176843747832,14.8834268524544,572.176843747832,14.8834268524544,0.446105072463768,0.277296361012948,5.30344202898551,0.674832138644384
low_it_load,no_battery,1,True,302.497807842093,0,3936.79451366558,0,176.107989978775,0,145.89269053227,0,3.125,0,0,0,2306.46413543158,0,141.466072797059,0,0,0,0,0,0,0,533.277495377293,0,760.218183157782,0,0,0,0,0
low_it_load,rule_based,1,True,267.737543532363,0,3563.97841892272,0,231.238879847799,0,179.95036185682,0,25.78125,0,18.75,0,1691.36401342106,0,138.144733653882,0,1061.1255719852,0,0.13264069649815,0,0.2678717195939,0,535.272762364242,0,760.218183157782,0,30.2309782608696,0,0,0
