scope,controller,interval_count,day_count,first_timestamp,last_timestamp,max_abs_battery_power_kW,min_SOC,max_SOC,max_energy_balance_error_kW,physical_projection_count,service_coaching_count,max_battery_ramp_kW_per_interval,ramp_override_count,unjustified_ramp_violation_count,no_battery_exact_zero,no_battery_constant_SOC,no_battery_no_intervention,passed
main_test,no_battery,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,0,0.55,0.55,1.13686837721616e-13,0,0,0,0,0,True,True,True,True
main_test,rule_based,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,674.999982118607,0.2,0.9,1.13686837721616e-13,2656,0,604.99994635582,63,0,,,,True
main_test,tou_self_consumption,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,487.499982118607,0.2,0.9,1.13686837721616e-13,1716,0,355.968777146191,56,0,,,,True
main_test,carbon_aware,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,487.499982118607,0.2,0.9,1.13686837721616e-13,3108,0,448.843945600101,41,0,,,,True
main_test,greedy_tracking,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,484.551429748535,0.2,0.9,1.13686837721616e-13,946,0,455.873937794459,9,0,,,,True
scenario:baseline_real,no_battery,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,0,0.55,0.55,0,0,0,0,0,0,True,True,True,True
scenario:baseline_real,rule_based,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,674.999982118607,0.2,0.9,0,2656,0,604.99994635582,63,0,,,,True
scenario:baseline_real,tou_self_consumption,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,487.499982118607,0.2,0.9,0,1716,0,355.968777146191,56,0,,,,True
scenario:baseline_real,carbon_aware,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,487.499982118607,0.2,0.9,0,3108,0,448.843945600101,41,0,,,,True
scenario:baseline_real,greedy_tracking,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,484.551429748535,0.2,0.9,0,946,0,455.873937794459,9,0,,,,True
scenario:low_it_load,no_battery,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,0,0.55,0.55,0,0,0,0,0,0,True,True,True,True
scenario:low_it_load,rule_based,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,674.999982118607,0.2,0.9,0,2670,0,604.99994635582,63,0,,,,True
