analysis_type,comparison,metric_x,metric_y,n_scenarios,pearson_r,inference_note,scenario_value,baseline_value,absolute_difference,percent_difference_from_baseline
exploratory_pearson_correlation,mean IT load vs VPP tracking RMSE,mean_it_kW,VPP_tracking_RMSE_kW_mean_across_seeds,8,0.335377935207145,"Descriptive only: eight deterministic, non-independent synthetic scenario families; no hypothesis test or causal inference is warranted.",,,,
exploratory_pearson_correlation,peak IT load vs VPP tracking RMSE,max_it_kW,VPP_tracking_RMSE_kW_mean_across_seeds,8,0.310741097454031,"Descriptive only: eight deterministic, non-independent synthetic scenario families; no hypothesis test or causal inference is warranted.",,,,
exploratory_pearson_correlation,IT CV vs VPP tracking RMSE,it_coefficient_of_variation,VPP_tracking_RMSE_kW_mean_across_seeds,8,0.240623028083321,"Descriptive only: eight deterministic, non-independent synthetic scenario families; no hypothesis test or causal inference is warranted.",,,,
exploratory_pearson_correlation,mean IT ramp vs VPP tracking RMSE,mean_absolute_it_ramp_kW_per_h,VPP_tracking_RMSE_kW_mean_across_seeds,8,0.425819537878912,"Descriptive only: eight deterministic, non-independent synthetic scenario families; no hypothesis test or causal inference is warranted.",,,,
exploratory_pearson_correlation,mean IT ramp vs battery throughput,mean_absolute_it_ramp_kW_per_h,battery_throughput_kWh_mean_across_seeds,8,0.157796107931932,"Descriptive only: eight deterministic, non-independent synthetic scenario families; no hypothesis test or causal inference is warranted.",,,,
exploratory_pearson_correlation,peak IT load vs pooled-test DR interval compliance,max_it_kW,DR_interval_compliance_pct_pooled_test_mean_across_seeds,8,-0.816337418281786,"Descriptive only: eight deterministic, non-independent synthetic scenario families; no hypothesis test or causal inference is warranted.",,,,
exploratory_pearson_correlation,daily IT energy vs daily electricity cost,mean_daily_it_energy_kWh,daily_cost_EUR_mean_across_seeds,8,0.987665401973563,"Descriptive only: eight deterministic, non-independent synthetic scenario families; no hypothesis test or causal inference is warranted.",,,,
exploratory_pearson_correlation,daily IT energy vs daily carbon emissions,mean_daily_it_energy_kWh,carbon_emissions_kgCO2_mean_across_seeds,8,0.987218970041576,"Descriptive only: eight deterministic, non-independent synthetic scenario families; no hypothesis test or causal inference is warranted.",,,,
IT_load_magnitude_comparison,low_it_load versus baseline_real,mean_it_kW,baseline_real,2,,Descriptive paired scenario contrast; no causal or statistical claim.,291.211990227206,388.282653636275,-97.0706634090687,-25
IT_load_magnitude_comparison,low_it_load versus baseline_real,max_it_kW,baseline_real,2,,Descriptive paired scenario contrast; no causal or statistical claim.,563.912682433497,751.883576577996,-187.970894144499,-25
IT_load_magnitude_comparison,low_it_load versus baseline_real,mean_daily_it_energy_kWh,baseline_real,2,,Descriptive paired scenario contrast; no causal or statistical claim.,6989.08776545295,9318.7836872706,-2329.69592181765,-25
IT_load_magnitude_comparison,low_it_load versus baseline_real,VPP_tracking_RMSE_kW_mean_across_seeds,baseline_real,2,,Descriptive paired scenario contrast; no causal or statistical claim.,118.244536653175,80.3698030400603,37.8747336131152,47.1255772447726
IT_load_magnitude_comparison,low_it_load versus baseline_real,DR_interval_compliance_pct_pooled_test_mean_across_seeds,baseline_real,2,,Descriptive paired scenario contrast; no causal or statistical claim.,100,99.84375,0.15625,0.156494522691706
IT_load_magnitude_comparison,low_it_load versus baseline_real,DR_violation_energy_kWh_pooled_test_mean_across_seeds,baseline_real,2,,Descriptive paired scenario contrast; no causal or statistical claim.,0,0.325857893959272,-0.325857893959272,-100
IT_load_magnitude_comparison,low_it_load versus baseline_real,daily_cost_EUR_mean_across_seeds,baseline_real,2,,Descriptive paired scenario contrast; no causal or statistical claim.,329.662925623768,393.003638970863,-63.3407133470945,-16.1170806237218
IT_load_magnitude_comparison,low_it_load versus baseline_real,carbon_emissions_kgCO2_mean_across_seeds,baseline_real,2,,Descriptive paired scenario contrast; no causal or statistical claim.,4316.27575786024,5091.61374751235,-775.337989652111,-15.2277456244776
IT_load_magnitude_comparison,low_it_load versus baseline_real,battery_throughput_kWh_mean_across_seeds,baseline_real,2,,Descriptive paired scenario contrast; no causal or statistical claim.,2365.33388984046,2741.28358587263,-375.949696032167,-13.714367166157
IT_load_magnitude_comparison,low_it_load versus baseline_real,safety_intervention_fraction_pct_mean_across_seeds,baseline_real,2,,Descriptive paired scenario contrast; no causal or statistical claim.,11.8138586956522,5.74954710144928,6.0643115942029,105.474596297755
IT_load_magnitude_comparison,high_it_load versus baseline_real,mean_it_kW,baseline_real,2,,Descriptive paired scenario contrast; no causal or statistical claim.,485.353317045344,388.282653636275,97.0706634090687,25
IT_load_magnitude_comparison,high_it_load versus baseline_real,max_it_kW,baseline_real,2,,Descriptive paired scenario contrast; no causal or statistical claim.,939.854470722495,751.883576577996,187.970894144499,25
IT_load_magnitude_comparison,high_it_load versus baseline_real,mean_daily_it_energy_kWh,baseline_real,2,,Descriptive paired scenario contrast; no causal or statistical claim.,11648.4796090882,9318.7836872706,2329.69592181765,25
IT_load_magnitude_comparison,high_it_load versus baseline_real,VPP_tracking_RMSE_kW_mean_across_seeds,baseline_real,2,,Descriptive paired scenario contrast; no causal or statistical claim.,149.094750677222,80.3698030400603,68.7249476371614,85.5109071287702
