controller,scenario,seeds,deterministic,test_days,daily_cost_EUR,daily_cost_EUR_std_across_days,daily_cost_EUR_median_across_days,daily_cost_EUR_iqr_across_days,objective_value,objective_value_std_across_days,objective_value_median_across_days,objective_value_iqr_across_days,grid_energy_cost_EUR,grid_energy_cost_EUR_std_across_days,grid_energy_cost_EUR_median_across_days,grid_energy_cost_EUR_iqr_across_days,imported_energy_kWh,imported_energy_kWh_std_across_days,imported_energy_kWh_median_across_days,imported_energy_kWh_iqr_across_days,exported_energy_kWh,exported_energy_kWh_std_across_days,exported_energy_kWh_median_across_days,exported_energy_kWh_iqr_across_days,export_energy_kWh,export_energy_kWh_std_across_days,export_energy_kWh_median_across_days,export_energy_kWh_iqr_across_days,carbon_emissions_kgCO2,carbon_emissions_kgCO2_std_across_days,carbon_emissions_kgCO2_median_across_days,carbon_emissions_kgCO2_iqr_across_days,carbon_intensity_avg_gCO2_per_kWh,carbon_intensity_avg_gCO2_per_kWh_std_across_days,carbon_intensity_avg_gCO2_per_kWh_median_across_days,carbon_intensity_avg_gCO2_per_kWh_iqr_across_days,pv_generation_kWh,pv_generation_kWh_std_across_days,pv_generation_kWh_median_across_days,pv_generation_kWh_iqr_across_days,pv_used_locally_kWh,pv_used_locally_kWh_std_across_days,pv_used_locally_kWh_median_across_days,pv_used_locally_kWh_iqr_across_days,renewable_self_consumption_ratio_pct,renewable_self_consumption_ratio_pct_std_across_days,renewable_self_consumption_ratio_pct_median_across_days,renewable_self_consumption_ratio_pct_iqr_across_days,PV_self_consumption_kWh,PV_self_consumption_kWh_std_across_days,PV_self_consumption_kWh_median_across_days,PV_self_consumption_kWh_iqr_across_days,renewable_self_consumption_ratio,renewable_self_consumption_ratio_std_across_days,renewable_self_consumption_ratio_median_across_days,renewable_self_consumption_ratio_iqr_across_days,battery_throughput_kWh,battery_throughput_kWh_std_across_days,battery_throughput_kWh_median_across_days,battery_throughput_kWh_iqr_across_days,equivalent_full_cycles,equivalent_full_cycles_std_across_days,equivalent_full_cycles_median_across_days,equivalent_full_cycles_iqr_across_days,mean_daily_peak_import_kW,mean_daily_peak_import_kW_std_across_days,mean_daily_peak_import_kW_median_across_days,mean_daily_peak_import_kW_iqr_across_days,horizon_max_grid_import_kW,horizon_max_grid_import_kW_std_across_days,horizon_max_grid_import_kW_median_across_days,horizon_max_grid_import_kW_iqr_across_days,peak_contract_violation_count,peak_contract_violation_count_std_across_days,peak_contract_violation_count_median_across_days,peak_contract_violation_count_iqr_across_days,peak_contract_violation_energy_kWh,peak_contract_violation_energy_kWh_std_across_days,peak_contract_violation_energy_kWh_median_across_days,peak_contract_violation_energy_kWh_iqr_across_days,VPP_tracking_RMSE_kW,VPP_tracking_RMSE_kW_std_across_days,VPP_tracking_RMSE_kW_median_across_days,VPP_tracking_RMSE_kW_iqr_across_days,VPP_tracking_MAE_kW,VPP_tracking_MAE_kW_std_across_days,VPP_tracking_MAE_kW_median_across_days,VPP_tracking_MAE_kW_iqr_across_days,DR_success_rate_pct,DR_success_rate_pct_std_across_days,DR_success_rate_pct_median_across_days,DR_success_rate_pct_iqr_across_days,DR_interval_compliance_pct,DR_interval_compliance_pct_std_across_days,DR_interval_compliance_pct_median_across_days,DR_interval_compliance_pct_iqr_across_days,DR_event_count,DR_event_count_std_across_days,DR_event_count_median_across_days,DR_event_count_iqr_across_days,DR_successful_event_count,DR_successful_event_count_std_across_days,DR_successful_event_count_median_across_days,DR_successful_event_count_iqr_across_days,DR_event_compliance_pct,DR_event_compliance_pct_std_across_days,DR_event_compliance_pct_median_across_days,DR_event_compliance_pct_iqr_across_days,DR_max_violation_kW,DR_max_violation_kW_std_across_days,DR_max_violation_kW_median_across_days,DR_max_violation_kW_iqr_across_days,feasible_DR_success_pct,feasible_DR_success_pct_std_across_days,feasible_DR_success_pct_median_across_days,feasible_DR_success_pct_iqr_across_days,DR_violation_energy_kWh,DR_violation_energy_kWh_std_across_days,DR_violation_energy_kWh_median_across_days,DR_violation_energy_kWh_iqr_across_days,min_SOC,min_SOC_std_across_days,min_SOC_median_across_days,min_SOC_iqr_across_days,max_SOC,max_SOC_std_across_days,max_SOC_median_across_days,max_SOC_iqr_across_days,final_SOC,final_SOC_std_across_days,final_SOC_median_across_days,final_SOC_iqr_across_days,terminal_SOC_error,terminal_SOC_error_std_across_days,terminal_SOC_error_median_across_days,terminal_SOC_error_iqr_across_days,hard_clip_fraction_pct,hard_clip_fraction_pct_std_across_days,hard_clip_fraction_pct_median_across_days,hard_clip_fraction_pct_iqr_across_days,soft_coach_fraction_pct,soft_coach_fraction_pct_std_across_days,soft_coach_fraction_pct_median_across_days,soft_coach_fraction_pct_iqr_across_days,physical_projection_fraction_pct,physical_projection_fraction_pct_std_across_days,physical_projection_fraction_pct_median_across_days,physical_projection_fraction_pct_iqr_across_days,service_coaching_fraction_pct,service_coaching_fraction_pct_std_across_days,service_coaching_fraction_pct_median_across_days,service_coaching_fraction_pct_iqr_across_days,mean_reward,mean_reward_std_across_days,mean_reward_median_across_days,mean_reward_iqr_across_days
no_battery,baseline_real,1,True,92,415.372708059047,136.876463294201,420.425940949031,209.171960896791,188.216206668159,65.3156450432589,180.009131802979,101.884006262728,415.372708059047,136.876463294201,420.425940949031,209.171960896791,11104.291544211,2431.65472105057,11167.9317308258,3060.17837972111,5.96365440816818,47.0104443442597,0,0,5.96365440816818,47.0104443442597,0,0,5385.57647289825,1474.7504522983,5554.25099546749,2099.24103435962,485.515110221261,80.9161032164099,497.202402337227,103.140785559173,944.477173913043,549.361797577953,762.35,737.45,938.513519504875,533.347830567277,762.35,737.45,99.7633069936416,1.79086554905932,100,0,938.513519504875,533.347830567277,762.35,737.45,0.997633069936416,0.0179086554905932,1,0,0,0,0,0,0,0,0,0,711.607619170289,176.595933303548,752.473125162819,245.644218795163,1013.62424421038,176.595933303548,752.473125162819,245.644218795163,13.1630434782609,12.5726697960412,11.5,25.25,324.110223008837,476.490011848965,92.2300399777327,490.376304213098,152.54677645205,33.9038102493963,159.142017453731,51.4850959403811,127.02448843508,28.220133734345,132.099136728595,38.9875888557176,82.6086956521739,38.1111608704768,100,0,0,38.1111608704768,100,0,16,0.381111608704768,0,0,0,0,0,0,0,38.1111608704768,100,0,356.405519779892,118.757269576786,0,0,82.6086956521739,38.1111608704768,100,0,8096.04125729939,193.892502612133,0,0,0.55,2.23261296799469e-16,0.55,0,0.55,2.23261296799469e-16,0.55,0,0.55,2.23261296799469e-16,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.96058548612666,0.680371302533946,-1.87509512294769,1.06129173190342
rule_based,baseline_real,1,True,92,376.812483181191,121.804289901278,374.675217491883,178.201387196321,374.702466815455,175.582358758756,389.154572876578,329.726718789735,376.812483181191,121.804289901278,374.675217491883,178.201387196321,10297.959016281,2371.20949594923,10255.3074442268,2447.56035888041,83.1251216540172,183.781536873805,0,67.4661703160138,83.1251216540172,183.781536873805,0,67.4661703160138,4926.93820625073,1297.88252035652,4972.96793332657,1815.59008089892,482.560819324616,81.5225587718971,489.541767881863,101.233937443813,944.477173913043,549.361797577953,762.35,737.45,939.146336344741,534.973438436211,762.35,737.45,99.7908216535019,1.77480875423646,100,0,939.146336344741,534.973438436211,762.35,737.45,0.997908216535019,0.0177480875423646,1,0,1045.63644193914,550.730586007882,1330,308.125002235173,0.130704555242393,0.0688413232509853,0.16625,0.0385156252793967,710.600593728179,175.265082867868,752.473125162819,240.674117238003,1013.62424421038,175.265082867868,752.473125162819,240.674117238003,12.2826086956522,11.9507469875102,10,22,302.45647011532,454.533857468697,82.6183608698581,392.595708490162,192.669664518754,49.2051838613024,199.119299860217,68.5553987646097,153.906545318101,39.0981741014684,155.812912602186,56.1947453001619,86.4130434782609,33.7986611913513,100,0,21.875,33.7986611913513,100,0,16,0.381111608704768,0,0,1,0.104257207028537,0,0,6.25,37.1429490241063,100,0,356.405519779892,107.03769138521,0,0,86.4130434782609,33.7986611913513,100,0,6034.80269631692,166.847395388432,0,0,0.298526887616113,0.154022191213678,0.2,0.35,0.562603957836092,0.0694661772652706,0.55,0,0.315421463301175,0.19033670182561,0.2,0.35,0.265499946553776,0.143509594790511,0.35,0.142083159671778,30.0724637681159,28.3103870867411,25,47.1354166666667,0,0,0,0,30.0724637681159,28.3103870867411,25,47.1354166666667,0,0,0,0,-3.90315069599432,1.82898290373705,-4.05369346746435,3.43465332072641
tou_self_consumption,baseline_real,1,True,92,378.450014068956,119.133430123439,396.154729234773,171.963690332265,338.949563383743,151.564459122521,325.12101971328,291.760450230959,378.450014068956,119.133430123439,396.154729234773,171.963690332265,10555.2054923456,2426.1081971075,10469.8263535716,2595.11572214746,175.797565261732,221.777112137509,92.2376225602115,295.158389575653,175.797565261732,221.777112137509,92.2376225602115,295.158389575653,5051.60256517,1328.46908699442,5100.07715220093,1777.36543203433,482.964351168619,81.7143124410447,493.561528405875,101.167974452042,944.477173913043,549.361797577953,762.35,737.45,941.974511804801,542.44456277141,762.35,737.45,99.897589670333,0.709638229257667,100,0,941.974511804801,542.44456277141,762.35,737.45,0.99897589670333,0.0070963822925766,1,0,1033.82986176069,641.703467417555,1330,814.374988824129,0.129228732720086,0.0802129334271944,0.16625,0.101796873603016,725.680314107596,170.147990987068,752.648082978361,200.917725416805,1013.62424421038,170.147990987068,752.648082978361,200.917725416805,12.8152173913043,12.0017666719915,10,24,311.323583126879,454.587909584358,79.7907653312993,451.11566758664,197.631306957708,52.8774700753722,204.584646589486,81.036556795301,153.749698368111,37.8796750257334,150.926277842072,57.307049724995,83.695652173913,37.1429490241063,100,0,6.25,37.1429490241063,100,0,16,0.381111608704768,0,0,1,0.104257207028537,0,0,6.25,37.1429490241063,100,0,356.405519779892,114.934397544777,0,0,83.695652173913,37.1429490241063,100,0,7547.71967689419,187.922770616136,0,0,0.324027460568011,0.162458109007962,0.2,0.35,0.582743113037967,0.0942664356699901,0.55,0,0.356770573605978,0.219777838129236,0.2,0.35,0.253137849470887,0.145833053954727,0.35,0.223167663227497,19.429347826087,18.9878802469705,14.0625,33.8541666666667,0,0,0,0,19.429347826087,18.9878802469705,14.0625,33.8541666666667,0,0,0,0,-3.53072461858066,1.57879644919292,-3.38667728868,3.03917135657249
carbon_aware,baseline_real,1,True,92,395.843997501803,125.728139256311,414.311987159603,167.78085576371,355.09482142573,161.175897699024,316.510530358818,298.146172367359,395.843997501803,125.728139256311,414.311987159603,167.78085576371,11121.4931138763,2696.73583833247,10924.1641132706,3347.29476690443,70.3572687929439,143.78624002323,0,68.2729271901428,70.3572687929439,143.78624002323,0,68.2729271901428,5219.81208551915,1270.55288031191,5283.67226719352,1895.36243761298,476.975786135038,81.6170330928668,479.327687362019,109.466740093033,944.477173913043,549.361797577953,762.35,737.45,939.146336344741,534.973438436211,762.35,737.45,99.7908216535019,1.77480875423646,100,0,939.146336344741,534.973438436211,762.35,737.45,0.997908216535019,0.0177480875423646,1,0,1671.44211497546,926.526644909326,1463.40458291141,143.684210526313,0.208930264371932,0.115815830613666,0.182925572863927,0.0179605263157891,801.294595430346,175.704664572964,802.61906018802,154.741977863655,1296.54139856475,175.704664572964,802.61906018802,154.741977863655,19.2391304347826,14.2438493108988,17,21,566.628724902705,682.804296365788,299.641126937512,675.492152614895,206.778152470903,44.776894436748,208.769123865115,61.499184413201,168.982188990051,38.5244318068759,170.78242151738,50.8861368559152,91.9836956521739,25.5826017337329,100,0,53.90625,25.5826017337329,100,0,16,0.381111608704768,0,0,6,0.248261994988676,0,0,37.5,31.2962510100078,100,0,356.405519779892,84.065995727747,0,0,91.9836956521739,25.5826017337329,100,0,3334.01460736166,120.185332502676,0,0,0.377909419488208,0.176170121982351,0.320194300556997,0.3678125,0.718255840639847,0.1692507906125,0.730351557722316,0.35,0.516743622198824,0.313792443397874,0.440611641770964,0.7,0.297096658939122,0.101722428369137,0.35,0.0416211014473805,35.1902173913044,29.9794466276271,29.6875,54.4270833333333,0,0,0,0,35.1902173913044,29.9794466276271,29.6875,54.4270833333333,0,0,0,0,-3.69890438985136,1.6789156010315,-3.29698469123769,3.10568929549332
greedy_tracking,baseline_real,1,True,92,409.406597595993,121.196738924115,416.510972464264,157.870125450561,210.150751908451,88.6196938507763,186.885335992059,72.2700253392318,409.406597595993,121.196738924115,416.510972464264,157.870125450561,11122.6764565547,2109.64962230514,11079.9587183831,2629.61406328133,1.01796192497819,9.48339121131469,0,0,1.01796192497819,9.48339121131469,0,0,5348.38074980611,1312.61755421362,5412.66771700803,1568.68057164177,482.429238451213,81.1966912487767,494.184445894226,104.055857760547,944.477173913043,549.361797577953,762.35,737.45,943.459211988065,546.26792831872,762.35,737.45,99.9608522115923,0.359337921301887,100,0,943.459211988065,546.26792831872,762.35,737.45,0.999608522115923,0.0035933792130188,1,0,2581.78388200945,663.605795704588,2683.1467425128,1192.44062507833,0.322722985251181,0.0829507244630734,0.3353933428141,0.149055078134791,543.041765595418,142.491102186534,493.721324069026,162.06356516097,996.541398564747,142.491102186534,493.721324069026,162.06356516097,2.64130434782609,7.45916579276376,0,0,68.0914511788363,252.631894184566,0,0,48.5563190700056,50.6737366436964,38.6190884520942,72.1486677623383,19.450162333723,26.8424820253168,9.414033774647,23.5345626907209,88.179347826087,28.4901738913823,100,0,32.03125,28.4901738913823,100,0,16,0.381111608704768,0,0,0,0,0,0,0,38.1111608704768,100,0,333.511285275758,83.1490600444258,0,0,88.179347826087,28.4901738913823,100,0,3530.24141905282,129.070096137589,0,0,0.450028706861759,0.121614182568295,0.472324780318396,0.137900722875355,0.833131476567463,0.127364265265172,0.9,0.0521993985691983,0.522718756208857,0.184316779963634,0.490211777444443,0.234897447826341,0.155314479595503,0.101673248385015,0.120642756246047,0.133973407530146,10.7110507246377,11.2512782551988,8.33333333333333,14.84375,0,0,0,0,10.7110507246377,11.2512782551988,8.33333333333333,14.84375,0,0,0,0,-2.1890703323797,0.923121810945586,-1.94672224991728,0.752812763950331
no_battery,low_it_load,1,True,92,302.497807842093,102.387649213153,306.601879961624,153.634225824496,136.413127435284,32.993423584918,138.11044547977,42.3846188975124,302.497807842093,102.387649213153,306.601879961624,153.634225824496,8108.23565546823,1864.19607697578,8029.4888723643,2395.96276746505,20.6090315943682,99.4298179740904,0,0,20.6090315943682,99.4298179740904,0,0,3936.79451366558,1111.17625446919,4002.86249635581,1620.55464684444,486.10751472154,80.9541810352853,498.557975750201,103.371660933097,944.477173913043,549.361797577953,762.35,737.45,923.868142318675,503.594790845587,762.35,732.854121465688,99.0841880489412,4.0344834393466,100,0,923.868142318675,503.594790845587,762.35,732.854121465688,0.990841880489412,0.040344834393466,1,0,0,0,0,0,0,0,0,0,533.277495377293,132.422137343523,563.182968872115,183.773789096372,760.218183157782,132.422137343523,563.182968872115,183.773789096372,0.978260869565217,2.91633618130833,0,0,6.83242297377253,23.611121179149,0,0,176.107989978775,39.1082834366579,186.331314999561,47.9507735067203,145.89269053227,32.1629002658326,153.675661010382,39.5072131525085,83.1521739130435,37.0362711384064,100,0,3.125,37.0362711384064,100,0,16,0.381111608704768,0,0,0,0,0,0,0,38.1111608704768,100,0,141.466072797059,44.3809038107161,0,0,83.1521739130435,37.0362711384064,100,0,2306.46413543158,55.6964441175752,0,0,0.55,2.23261296799469e-16,0.55,0,0.55,2.23261296799469e-16,0.55,0,0.55,2.23261296799469e-16,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.42097007745088,0.34368149567623,-1.4386504737476,0.441506446849087
rule_based,low_it_load,1,True,92,267.737543532363,88.4564985373711,266.39327356031,123.245985702857,329.637863840108,159.521799991146,352.410177716776,331.128843997846,267.737543532363,88.4564985373711,266.39327356031,123.245985702857,7463.8676876219,1779.5322197714,7419.35049221712,1927.5566826725,244.245928877805,287.424204824109,180.51186189974,370.924043976867,244.245928877805,287.424204824109,180.51186189974,370.924043976867,3563.97841892272,944.560732996311,3542.28392769975,1333.97515550875,482.543620921458,81.8266144240951,487.607361503554,103.937028059466,944.477173913043,549.361797577953,762.35,737.45,929.604154366866,517.680811455425,762.35,732.854121465688,99.3373261498534,3.72301306682628,100,0,929.604154366866,517.680811455425,762.35,732.854121465688,0.993373261498535,0.0372301306682628,1,0,1061.1255719852,551.423192493839,1330,169.843736030161,0.13264069649815,0.0689278990617299,0.16625,0.0212304670037701,535.272762364242,129.168447896448,563.182968872115,169.015956686032,760.218183157782,129.168447896448,563.182968872115,169.015956686032,0.967391304347826,2.91811728765979,0,0,6.7541302410198,23.621818870339,0,0,231.238879847799,54.2529135046764,247.020230428312,83.5412687968284,179.95036185682,40.4525739194954,190.575310845058,64.1353963357047,87.0923913043478,32.9132166702293,100,0,25.78125,32.9132166702293,100,0,16,0.381111608704768,0,0,3,0.178583372749133,0,0,18.75,35.0243925648135,100,0,138.144733653882,39.7479405233718,0,0,87.0923913043478,32.9132166702293,100,0,1691.36401342106,47.4149440051175,0,0,0.298526887616113,0.154022191213678,0.2,0.35,0.566282626222031,0.075418733954469,0.55,0,0.319100131687114,0.196211129924997,0.2,0.35,0.2678717195939,0.140910097506995,0.35,0.132894732136475,30.2309782608696,28.1713760321158,25,47.1354166666667,0,0,0,0,30.2309782608696,28.1713760321158,25,47.1354166666667,0,0,0,0,-3.43372774833446,1.66168541657443,-3.67093935121641,3.44925879164423
tou_self_consumption,low_it_load,1,True,92,269.910518302449,86.8620544944925,269.911669507639,117.429708433668,290.774686037056,136.613929487944,285.632003619321,287.398368118322,269.910518302449,86.8620544944925,269.911669507639,117.429708433668,7739.27209435277,1844.45734692886,7676.55986150966,2254.83331725812,338.468625036122,346.142564930979,354.043985752595,550.956476648725,338.468625036122,346.142564930979,354.043985752595,550.956476648725,3694.20249101967,974.310354424308,3649.09807732788,1296.32605601728,482.801529949943,81.9525266125389,492.751513478486,101.778715677846,944.477173913043,549.361797577953,762.35,737.45,933.466693858098,523.709105511058,762.35,737.45,99.5090081867557,2.28696778023114,100,0,933.466693858098,523.709105511058,762.35,737.45,0.995090081867557,0.0228696778023115,1,0,1104.85805401192,689.203549957865,1330,418.281231280416,0.13810725675149,0.0861504437447331,0.16625,0.052285153910052,557.383979832595,131.526536336637,580.165219284166,136.550856063813,818.694025869603,131.526536336637,580.165219284166,136.550856063813,1.05434782608696,2.95149107570991,0,0,8.0505653060056,25.4461105985876,0,0,232.104872417679,54.2490201153226,236.410900251509,92.8962038413787,176.208103840854,37.5884618723898,181.623172181939,57.9087625068321,84.2391304347826,36.0226179147678,100,0,9.375,36.0226179147678,100,0,16,0.381111608704768,0,0,1,0.104257207028537,0,0,6.25,37.1429490241063,100,0,141.466072797059,42.9321150850174,0,0,84.2391304347826,36.0226179147678,100,0,2148.17475423672,53.9535194216277,0,0,0.324326105589778,0.162252729158127,0.2,0.35,0.590584485444634,0.103066451412191,0.55,0,0.36389411686694,0.230124939819347,0.2,0.35,0.259664102688315,0.140737739279404,0.35,0.16400029948404,19.5425724637681,18.8276586501083,15.1041666666667,33.8541666666667,0,0,0,0,19.5425724637681,18.8276586501083,15.1041666666667,33.8541666666667,0,0,0,0,-3.02890297955267,1.42306176549942,-2.97533337103459,2.99373300123252
carbon_aware,low_it_load,1,True,92,285.142769441485,93.7067891245177,297.421756126609,119.471350701231,300.131609313279,153.678906751939,236.932285937595,296.366852439158,285.142769441485,93.7067891245177,297.421756126609,119.471350701231,8234.98500511971,2129.42862140191,8021.97044152351,2846.02629576807,194.550425965351,271.119254690107,10.8696224323222,338.444841305928,194.550425965351,271.119254690107,10.8696224323222,338.444841305928,3835.63664352717,946.034892037909,3855.75006478939,1330.86010552942,475.156114706944,82.3239092752834,472.473843685833,112.020826146741,944.477173913043,549.361797577953,762.35,737.45,927.483293195099,512.46688074261,762.35,732.854121465688,99.2413735731598,3.7775433018449,100,0,927.483293195099,512.46688074261,762.35,732.854121465688,0.992413735731598,0.037775433018449,1,0,1671.44211497546,926.526644909326,1463.40458291141,143.684210526313,0.208930264371932,0.115815830613666,0.182925572863927,0.0179605263157891,647.859723982395,154.500908992676,660.505472291636,159.732421759454,1055.36872047697,154.500908992676,660.505472291636,159.732421759454,5.82608695652174,8.39755157363835,0,9.25,87.3619585775897,190.605863366373,0,64.7369357087734,227.731113605864,52.5178268184752,227.900864749997,87.5513327155031,181.807660817889,40.9911797077817,185.197907199769,64.461655024433,92.7989130434783,24.1783732924545,100,0,58.59375,24.1783732924545,100,0,16,0.381111608704768,0,0,8,0.283315298789931,0,0,50,28.3315298789931,100,0,138.144733653882,31.3771777885653,0,0,92.7989130434783,24.1783732924545,100,0,935.638138297461,34.1298703133503,0,0,0.377909419488208,0.176170121982351,0.320194300556997,0.3678125,0.718255840639847,0.1692507906125,0.730351557722316,0.35,0.516743622198824,0.313792443397874,0.440611641770964,0.7,0.297096658939122,0.101722428369137,0.35,0.0416211014473805,35.1902173913044,29.9794466276271,29.6875,54.4270833333333,0,0,0,0,35.1902173913044,29.9794466276271,29.6875,54.4270833333333,0,0,0,0,-3.12637093034666,1.6008219453327,-2.46804464518328,3.08715471290789
greedy_tracking,low_it_load,1,True,92,341.30598618519,106.749542225003,353.587855825513,154.6142673925,188.353456222474,38.5357857614859,184.803449579854,61.5212246490471,341.30598618519,106.749542225003,353.587855825513,154.6142673925,9374.42208850173,1838.63133954434,9346.02978950875,2658.67741066275,16.7252759148521,77.1051737833667,0,0,16.7252759148521,77.1051737833667,0,0,4522.02279936421,1152.84308904729,4554.00305413152,1582.39903702194,483.299394116457,81.0768599733961,491.627762808824,102.789888764774,944.477173913043,549.361797577953,762.35,737.45,927.751897998191,511.019467918921,762.35,737.45,99.2529515675204,3.18919521799812,100,0,927.751897998191,511.019467918921,762.35,737.45,0.992529515675203,0.0318919521799813,1,0,1822.29167398269,320.418544672447,1807.42228189406,575.699517431315,0.227786459247836,0.0400523180840558,0.225927785236757,0.0719624396789144,497.581257177196,80.7255441625556,483.220353595573,102.726547342188,644.479557840815,80.7255441625556,483.220353595573,102.726547342188,0,0,0,0,0,0,0,0,125.756472281049,59.3741540950289,142.521511004888,48.9355801646282,69.9638724240983,34.7674650431701,77.1038948635454,31.8314936456457,97.2826086956522,9.77530650648601,100,0,84.375,9.77530650648601,100,0,16,0.381111608704768,0,0,8,0.283315298789931,0,0,50,28.3315298789931,100,0,3.550934593477e-06,6.75250528548093e-07,0,0,97.2826086956522,9.77530650648601,100,0,9.52065181536454e-06,3.82714648824541e-07,0,0,0.547636777184175,0.0343586687586413,0.558300379646244,0.0035692658188054,0.872437183754703,0.0700352495775102,0.9,0,0.844557249449108,0.117343489904373,0.9,0.0268302861063074,0.298309247645823,0.107334133736508,0.35,0.0268302861063074,37.7490942028985,21.8154330074464,36.4583333333333,32.2916666666667,0,0,0,0,37.7490942028985,21.8154330074464,36.4583333333333,32.2916666666667,0,0,0,0,-1.96201516898411,0.401414435015478,-1.92503593312348,0.640846090094241
